CPU Usage: 0.626566%, Memory Usage: 25.787401%
CPU Usage: 3.564728%, Memory Usage: 25.772016%
CPU Usage: 1.058531%, Memory Usage: 25.783977%
CPU Usage: 0.873908%, Memory Usage: 25.774725%
CPU Usage: 1.253133%, Memory Usage: 25.742933%
CPU Usage: 0.249844%, Memory Usage: 25.742013%
CPU Usage: 0.687500%, Memory Usage: 25.745335%
CPU Usage: 0.062461%, Memory Usage: 25.745335%
CPU Usage: 1.500000%, Memory Usage: 25.762611%
CPU Usage: 0.814026%, Memory Usage: 25.765780%
CPU Usage: 0.374532%, Memory Usage: 25.756018%
CPU Usage: 0.438048%, Memory Usage: 25.804422%
CPU Usage: 0.187266%, Memory Usage: 25.768234%
CPU Usage: 1.250000%, Memory Usage: 25.771505%
CPU Usage: 0.563910%, Memory Usage: 25.771709%
CPU Usage: 0.689655%, Memory Usage: 25.762049%
CPU Usage: 0.062461%, Memory Usage: 25.762049%
CPU Usage: 0.811486%, Memory Usage: 25.777536%
CPU Usage: 0.750000%, Memory Usage: 25.777434%
CPU Usage: 1.314143%, Memory Usage: 25.790621%
CPU Usage: 0.374298%, Memory Usage: 25.787043%
CPU Usage: 0.935162%, Memory Usage: 25.780654%
CPU Usage: 0.249688%, Memory Usage: 25.783465%
CPU Usage: 1.436602%, Memory Usage: 25.790468%
CPU Usage: 1.059850%, Memory Usage: 25.786532%
CPU Usage: 1.000000%, Memory Usage: 25.757449%
CPU Usage: 0.124766%, Memory Usage: 25.757449%
CPU Usage: 0.750000%, Memory Usage: 25.760516%
CPU Usage: 8.535826%, Memory Usage: 12.371015%
CPU Usage: 0.187266%, Memory Usage: 12.054113%
CPU Usage: 0.250156%, Memory Usage: 12.054113%
CPU Usage: 0.749532%, Memory Usage: 10.676148%
CPU Usage: 0.124922%, Memory Usage: 10.675177%
CPU Usage: 0.249844%, Memory Usage: 10.687137%
CPU Usage: 0.000000%, Memory Usage: 10.687137%
CPU Usage: 0.000000%, Memory Usage: 10.661887%
CPU Usage: 0.124688%, Memory Usage: 10.641391%
CPU Usage: 0.000000%, Memory Usage: 10.641391%
CPU Usage: 2.687500%, Memory Usage: 10.641391%
CPU Usage: 6.386976%, Memory Usage: 10.691175%
CPU Usage: 4.380476%, Memory Usage: 10.034164%
CPU Usage: 5.134627%, Memory Usage: 10.083693%
CPU Usage: 4.791929%, Memory Usage: 10.069688%
CPU Usage: 5.952381%, Memory Usage: 10.419814%
CPU Usage: 7.601246%, Memory Usage: 11.199191%
CPU Usage: 6.835443%, Memory Usage: 12.026818%
CPU Usage: 9.244222%, Memory Usage: 13.125346%
CPU Usage: 11.159601%, Memory Usage: 14.188248%
CPU Usage: 3.426791%, Memory Usage: 14.420354%
